Location	Experiment type	File	Day	Sample	Day_sample	Patient	Repeat			
".//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_L,2f,D_fmo.fcs"	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_prolif_fmo.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD14_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD19_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD21_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD22_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD24_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD27_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_CD38_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_IgD_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_IgM_FMO.fcs	FMO				_					
".//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_L,2f,D_fmo.fcs"	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD14_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD19_FMO.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_CD21_FMO.fcs	FMO				_					
